site,item_task,item_type,model_type,invariance_type,rxx
ca_pilot,tom,Rasch,1,configural,0.40553308309108116
co_pilot,tom,Rasch,1,configural,0.3020087360491623
de_pilot,tom,Rasch,1,configural,0.3365026267978446
ca_pilot,math,Rasch,1,metric,0.6981031759147829
co_pilot,math,Rasch,1,metric,0.7988242713056172
de_pilot,math,Rasch,1,metric,0.7056182910284658
ca_pilot,matrix,Rasch,1,metric,0.30436632931295793
co_pilot,matrix,Rasch,1,metric,0.3797799370038474
de_pilot,matrix,Rasch,1,metric,0.24082986991423616
ca_pilot,mg,Rasch,1,metric,0.8491136735106023
co_pilot,mg,Rasch,1,metric,0.818693192653699
de_pilot,mg,Rasch,1,metric,0.9198743708308241
ca_pilot,vocab,Rasch,1,configural,0.710494883092054
co_pilot,vocab,Rasch,1,configural,0.8290201082750921
de_pilot,vocab,Rasch,1,configural,0.873963769263655
ca_pilot,trog,Rasch,1,metric,0.6724007603850097
co_pilot,trog,Rasch,1,metric,0.8370165180848731
de_pilot,trog,Rasch,1,metric,0.9096217436440504
ca_pilot,mrot,2PL,1,metric,0.901508028042374
co_pilot,mrot,2PL,1,metric,0.9169681825438358
de_pilot,mrot,2PL,1,metric,0.7944017302882125
ca_pilot,ha,Rasch,1,metric,4.5267813938820733e-4
co_pilot,ha,Rasch,1,metric,0.005703396231382701
de_pilot,ha,Rasch,1,metric,0.002496705316939158
ca_pilot,hf,2PL,1,configural,0.8255131552435616
co_pilot,hf,2PL,1,configural,0.9013419068240913
de_pilot,hf,2PL,1,configural,0.8800712189298048
ca_pilot,sds,2PL,1,metric,0.9495116794560177
co_pilot,sds,2PL,1,metric,0.9788112372261633
de_pilot,sds,2PL,1,metric,0.9660903295784489
