user_id,task_id,item,answer,response,correct,correct_dup,correct_check
2x17XbgefbjEfhQFzs5n,egma-math,7x3,21,NA,FALSE,NA,NA
Hy6Ef609kZalMFLsYhPx,egma-math,21x4,84,NA,FALSE,NA,NA
USOlM2fMIuZ906z8fS3T,egma-math,8-2,6,NA,FALSE,NA,NA
ce7k5PCb5QEWupAQYmXA,egma-math,38+26,64,NA,FALSE,NA,NA
ejjgncCQhdwDamU0QRqo,egma-math,1/4+2/4,3/4,NA,FALSE,NA,NA
kRBJWwsoiiadBzh2Kqtk,egma-math,351x4,1404,NA,FALSE,NA,NA
y6wDNgWLpJ7wliF5RPOp,egma-math,10+2,12,NA,FALSE,NA,NA
4l1KXSQFV3w9llYr2sFK,mental-rotation,bn12280,bp15000,NA,FALSE,NA,NA
8WdaksUd9yQuDZMxvDqG,mental-rotation,bn14280,bp15000,NA,FALSE,NA,NA
8vzhHZzOa0Ez5LuSZH2Y,mental-rotation,an11320,bp15000,NA,FALSE,NA,NA
Hy6Ef609kZalMFLsYhPx,mental-rotation,bn14320,bp15000,NA,FALSE,NA,NA
Jj6RyZqK1uWMZBe5OCYE,mental-rotation,bp1320,bp15000,NA,FALSE,NA,NA
KliKvEUWaKBkrEIEOreV,mental-rotation,ap17280,bp15000,NA,FALSE,NA,NA
Lva3b3JvCLBS4MsOklmB,mental-rotation,bp14240,bp15000,NA,FALSE,NA,NA
S7gqxZoYQA0GJ7CTa2nG,mental-rotation,ap13240,bp15000,NA,FALSE,NA,NA
SWbd1XWLydhUqxRcKnnd,mental-rotation,ap17240,bp15000,NA,FALSE,NA,NA
USOlM2fMIuZ906z8fS3T,mental-rotation,ap17240,bp15000,NA,FALSE,NA,NA
VhSL1XhTqbFOOvLYzELr,mental-rotation,bn12280,bp15000,NA,FALSE,NA,NA
WWv1DTwM9V742t6upIrw,mental-rotation,an6320,bp15000,NA,FALSE,NA,NA
Y8SzVKlewQDZoFMd2LQk,mental-rotation,ap2240,bp15000,NA,FALSE,NA,NA
ZQw3d073OWfSIUWF82YJ,mental-rotation,bn5240,bp15000,NA,FALSE,NA,NA
ZSKvHTslEW5W8fXZ4Z81,mental-rotation,bp12320,bp15000,NA,FALSE,NA,NA
hUti6k5Drh6KQo1CF2Gm,mental-rotation,an17320,bp15000,NA,FALSE,NA,NA
j2bCoqefl4MZOyP1EcS3,mental-rotation,bn5240,bp15000,NA,FALSE,NA,NA
kRBJWwsoiiadBzh2Kqtk,mental-rotation,an17320,bp15000,NA,FALSE,NA,NA
nmOxHGJA3hOUJwRTV2rm,mental-rotation,bp12320,bp15000,NA,FALSE,NA,NA
o9nmRty6F5SWi7pxaTZi,mental-rotation,bp14240,bp15000,NA,FALSE,NA,NA
pnJSx9QCVCqBwlxWJtL5,mental-rotation,bn12240,bp15000,NA,FALSE,NA,NA
sE9y4sk4w7xnDpK4OcVJ,mental-rotation,bn6280,bp15000,NA,FALSE,NA,NA
vyIrW7OcJCC8AFplUhVU,mental-rotation,bn12280,bp15000,NA,FALSE,NA,NA
2x17XbgefbjEfhQFzs5n,theory-of-mind,2f,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
8WdaksUd9yQuDZMxvDqG,theory-of-mind,1d,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
95RW9VdwBXCPIL3hOTYH,theory-of-mind,1d,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
By5sdPrBwNZXdRzQB6ag,theory-of-mind,2f,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
NhJHCh2Tc1wL0YKgayif,theory-of-mind,2f,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
PpDjOONoCvMpKIENtPre,theory-of-mind,1d,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
PpDjOONoCvMpKIENtPre,theory-of-mind,3e,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
az8Iegp1vCC7RJmSeq9T,theory-of-mind,3e,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
az8Iegp1vCC7RJmSeq9T,theory-of-mind,4b,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
d5mdmyQt7xx0ZFt2EWJ1,theory-of-mind,1d,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
d5mdmyQt7xx0ZFt2EWJ1,theory-of-mind,2f,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
ejjgncCQhdwDamU0QRqo,theory-of-mind,1d,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
kZTgMgf8d3KmTFfauszD,theory-of-mind,4b,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
o9nmRty6F5SWi7pxaTZi,theory-of-mind,2f,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
sE9y4sk4w7xnDpK4OcVJ,theory-of-mind,2f,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
wy295JJwoupcKw9WCJgl,theory-of-mind,1d,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
wy295JJwoupcKw9WCJgl,theory-of-mind,2f,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
wy295JJwoupcKw9WCJgl,theory-of-mind,3e,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
wy295JJwoupcKw9WCJgl,theory-of-mind,4b,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
y6wDNgWLpJ7wliF5RPOp,theory-of-mind,4b,hostile-attribution-scene3-q2-ans1,NA,FALSE,NA,NA
